"new_filename","split","scene_slug","original_scene","condition","background","distance","lighting","camera_angle","is_negative","object_count","source_sha256"
"angled_gray_001.jpg","train","angled_gray","斜拍灰色地面","angled","gray","mixed","normal","angled","0","3","EC44F492B237ED9E1BB19F55049F94725A19ADA8FD9E794F7E29CE05211DB340"
"angled_gray_005.jpg","train","angled_gray","斜拍灰色地面","angled","gray","mixed","normal","angled","0","3","84627AD7E6659B6A0E5C410362DE4A95215A641D3EF91E2376B295C8D9FB6672"
"angled_gray_006.jpg","train","angled_gray","斜拍灰色地面","angled","gray","mixed","normal","angled","0","3","52EA1CC3B79C399BDAAC741BF27FE90278A2BD0BE820CD238C04E24DFB312CA8"
"angled_gray_007.jpg","train","angled_gray","斜拍灰色地面","angled","gray","mixed","normal","angled","0","3","BF73E5CD9F92907FA474F322C67CA4C1EEDD29B35CF88FE39C17E404952FD437"
"angled_gray_008.jpg","train","angled_gray","斜拍灰色地面","angled","gray","mixed","normal","angled","0","3","B5132DCE8017E1691524EAD24453D3A1B63E96B7E0D63849CE806A18D0D9FBE0"
"angled_gray_009.jpg","train","angled_gray","斜拍灰色地面","angled","gray","mixed","normal","angled","0","3","9A05B8A74A6A25D66023BA2AEA1370382244E7360693B10DAD6931269B762F4E"
"angled_gray_010.jpg","train","angled_gray","斜拍灰色地面","angled","gray","mixed","normal","angled","0","3","5BCD7167CCABCF6A96A8C296BA7F759F07C78BB62B9F8EE7B6A898F6CD051973"
"angled_gray_011.jpg","train","angled_gray","斜拍灰色地面","angled","gray","mixed","normal","angled","0","3","899E3F79037ABBF68E3B2ED0754B6C63D191807F3B708D054231E8434C772B19"
"angled_gray_012.jpg","train","angled_gray","斜拍灰色地面","angled","gray","mixed","normal","angled","0","3","422AC4C7F6A933839F3329B5EC41E07A56673419D98E360E95DFE389AEB26F35"
"angled_white_001.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","3","CD052285C22C505C8E8209356B6D4C0528E957ACFEF2B8751EF9F8705ABA2FF1"
"angled_white_002.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","3","C6F4A2D5A0402452356A3EA2991F41C0EAFFF43AAC85AC25F4CF533BAD8A3508"
"angled_white_003.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","3","01E0061169B911EAF58F8B3C387BE2E637C1F6EF1292E3C8C12C02266A62F2CD"
"angled_white_009.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","2","6B1E0305654A1A41E33AD335AB0D350BD205DF693A3E231BEFF912DF16D66DF8"
"angled_white_010.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","3","8D060FBA0A2BEAFCD9750E7902BB3F42EF96698292E53B956D4382CA4560125B"
"angled_white_011.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","3","2D332B9864F4395F44AA8C040E1FE67F8E56A1CB69C3A814C64D6C25EF02E2A8"
"angled_white_012.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","3","946AFBFFC06C57C5360BE94A05ED0D8F35F88712B2A4018F3F92BAD43869B830"
"angled_white_013.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","2","0E7554EAD1B16C3AE927067DCC2D8D912AB06988020786BBE240E995E86A775F"
"angled_white_014.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","2","42A33E276A31676DAA0BB39631D6AA35A9F7107C72A55C2E4629954D78EFD260"
"angled_white_015.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","3","F521751B0E7BAC8921F1C8DB967A2F3557334EA3440F0E78E92A821028A1641E"
"angled_white_016.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","2","48C291B906034935E99962B3D5F40769CD61D762A14ABD300FA99358C1B6DDFC"
"angled_white_017.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","3","1EF7DAE53B4F3C7FFA61F8FB0A7CD2FC2E797EABC8174B337678072E7C48F1E5"
"angled_white_018.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","2","18C10F82713005CE724C28D7DB2B48E9C30686FD62F2D7AA8C418A68B8F80BDF"
"angled_white_019.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","3","56DE9E713113D212FB29F9AB1C1F2602B0262001CEB67B6A233091043059B4D0"
"angled_white_020.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","2","355C9501A4B3903EB4C79CB9A965F97F1379B1995757B7230C94007646D5737E"
"angled_white_021.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","3","58F7FC3C1E01DC2531D0FBDED6BE50081E4560EEC849BEC2C888E94B63B4FC9D"
"angled_white_022.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","1","72DDE55B2772DA8FD672D4AF61CEC309DEBDFEE82FCB3E404471BDA7F2F66596"
"angled_white_023.jpg","train","angled_white","斜拍白色背景","angled","white","mixed","normal","angled","0","3","FE2C5BA5784D94956D92B0B6BEED39D80B65A5958D088B3CCB03420305AFAD70"
